Zip Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
85001,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85002,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85003,Phoenix,Arizona,AZ,Maricopa,33.4511,-112.0774
85004,Phoenix,Arizona,AZ,Maricopa,33.4557,-112.0686
85005,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85006,Phoenix,Arizona,AZ,Maricopa,33.465,-112.0474
85007,Phoenix,Arizona,AZ,Maricopa,33.4523,-112.0893
85008,Phoenix,Arizona,AZ,Maricopa,33.4665,-111.9984
85009,Phoenix,Arizona,AZ,Maricopa,33.4564,-112.1284
85010,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85011,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85012,Phoenix,Arizona,AZ,Maricopa,33.5097,-112.0678
85013,Phoenix,Arizona,AZ,Maricopa,33.5085,-112.0827
85014,Phoenix,Arizona,AZ,Maricopa,33.5103,-112.0556
85015,Phoenix,Arizona,AZ,Maricopa,33.5082,-112.1011
85016,Phoenix,Arizona,AZ,Maricopa,33.5021,-112.0305
85017,Phoenix,Arizona,AZ,Maricopa,33.5153,-112.1212
85018,Phoenix,Arizona,AZ,Maricopa,33.4958,-111.9883
85019,Phoenix,Arizona,AZ,Maricopa,33.5123,-112.1417
85020,Phoenix,Arizona,AZ,Maricopa,33.5623,-112.0559
85021,Phoenix,Arizona,AZ,Maricopa,33.56,-112.0927
85022,Phoenix,Arizona,AZ,Maricopa,33.6315,-112.052
85023,Phoenix,Arizona,AZ,Maricopa,33.6324,-112.1118
85024,Phoenix,Arizona,AZ,Maricopa,33.6617,-112.037
85025,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85026,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85027,Phoenix,Arizona,AZ,Maricopa,33.6819,-112.0996
85028,Phoenix,Arizona,AZ,Maricopa,33.5851,-112.0087
85029,Phoenix,Arizona,AZ,Maricopa,33.5961,-112.1199
85030,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85031,Phoenix,Arizona,AZ,Maricopa,33.4939,-112.1696
85032,Phoenix,Arizona,AZ,Maricopa,33.6238,-112.0044
85033,Phoenix,Arizona,AZ,Maricopa,33.4944,-112.2132
85034,Phoenix,Arizona,AZ,Maricopa,33.4413,-112.0421
85035,Phoenix,Arizona,AZ,Maricopa,33.4724,-112.1832
85036,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85037,Phoenix,Arizona,AZ,Maricopa,33.4913,-112.2468
85038,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85039,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85040,Phoenix,Arizona,AZ,Maricopa,33.4061,-112.0265
85041,Phoenix,Arizona,AZ,Maricopa,33.3889,-112.0954
85042,Phoenix,Arizona,AZ,Maricopa,33.3794,-112.0283
85043,Phoenix,Arizona,AZ,Maricopa,33.4491,-112.1972
85044,Phoenix,Arizona,AZ,Maricopa,33.3291,-111.9943
85045,Phoenix,Arizona,AZ,Maricopa,33.3022,-112.1226
85046,Phoenix,Arizona,AZ,Maricopa,33.4484,-112.074
85048,Phoenix,Arizona,AZ,Maricopa,33.316,-112.0669
85050,Phoenix,Arizona,AZ,Maricopa,33.6863,-111.9963
85051,Phoenix,Arizona,AZ,Maricopa,33.5591,-112.1332
85053,Phoenix,Arizona,AZ,Maricopa,33.6299,-112.1316
85054,Phoenix,Arizona,AZ,Maricopa,33.6731,-111.9461
