zip_code,crime_index
44035,252.9
44039,47.8
44040,37.4
44052,338.8
44055,338.8
44313,466.7
44060,134.5
44062,66.4
44320,466.7
44067,70.0
44070,95.2
44017,64.0
44202,69.0
44077,199.8
44212,45.9
44087,67.9
44092,123.2
44094,44.2
44095,132.1
44224,118.0
44256,112.1
44001,87.0
44105,847.4
44106,847.4
44107,135.1
44236,26.7
44111,847.4
44112,376.9
44241,74.9
44118,212.9
44119,847.4
44120,170.3
44121,174.2
44122,274.8
44124,28.8
44128,312.7
44129,123.7
44131,103.8
44133,53.9
44262,54.9
44136,96.9
44138,24.9
44139,64.4
44012,57.6
44141,25.3
44142,61.2
44143,53.0
44144,404.9
44264,257.0
44146,59.5
44021,54.0
44278,153.2
44024,80.0
44286,43.5
44053,338.8 
44054,88.4 
44101,847.4 
44102,847.4 
44103,847.4 
44104,847.4 
44109,84.7 
44113,847.4 
44114,847.4 
44115,847.4 
44117,291.4 
44123,291.4 
44125,293.2 
44127,847.4 
44130,103.0 
44132,291.4 
44134,123.7 
44135,61.2 
44137,293.2 
44140,25.6 
44145,73.2 
44147,31.0 
44149,96.9 
44221,163.9 
44223,163.9 
44308,466.7 
44319,466.7 
44321,239.0 
44333,239.0 
44011,91.6 
44022,154.1
