business_id,review_count,stars,postal_code,checkin_count
Y0eMNa5C-YU1RQOZf9XvVA,23,5.0,85286,7
IQSlT5jGE6CCDhSG0zG3xg,20,3.0,85381,9
0FMKDOU8TJT1x87OKYGDTg,65,5.0,85395,91
7YIy1tXOor9VCwvaSjuBHg,46,1.5,85034,34
94KziT6DQ9XlBET3WzIv_w,4,4.5,85204,28
KQPW8lFf1y5BT2MxiSZ3QA,18,1.5,85017,6
zzMu-6SmqhpvHxVRM6tx9g,5,4.0,85022,1
ok38fApaT1TBEU-IH85BvA,5,5.0,85086,
A_Ij4SwFmlRbVtRnsdSzWA,5,2.0,85260,
5qpi5VQ_S2Itm8xvRm1k8Q,9,5.0,85331,1
rDMptJYWtnMhpQu_rRXHng,10,1.0,85022,54
1WBkAuQg81kokZIPMpn9Zg,232,3.0,85022,269
d6ngz4WmMaQL8Xdfur7bwQ,5,4.5,85379,
c6Shr51XcbvAeXp6hb_Exg,18,2.0,85016,2
XPZT3zLrkLkFSkBVxSsM3w,21,2.5,85054,258
iPa__LOhse-hobC2Xmp-Kw,34,3.0,85016,202
EfYExaDrwhj0k611u5lYMg,12,2.0,85301,11
AZUCA3oiGou2wLnAYG1P6g,3,2.5,85282,
kKx8iCJkomVQBdWHnmmOiA,4,2.5,85209,22
YhV93k9uiMdr3FlV4FHjwA,4,5.0,85001,
GX83LORhO99mdNFz9_cZdQ,3,2.5,85207,
dA7KJReGl9PMi3Tg_mBHuw,3,5.0,85207,
NVaM_cKKJT3WWyP21PANzw,3,4.5,85201,17
VZ37HCZVruFm-w_Mkl1aEQ,16,5.0,85032,31
VdlPZg2NAu8t8GkdbPLecg,263,3.5,85258,537
QkG3KUXwqZBW18A9k1xqCA,37,2.5,85035,171
7SBM_0TcfYTs2oMD-vgaQA,3,3.5,85302,1
RV_NgH8wT1TuOs2qNt1WDg,37,3.5,85257,100
5XejqzaFmtkZMstJS5Iy-w,37,4.0,85013,59
h2XsV6mR6c7QURhlsi0RqA,26,4.5,85210,6
MTH-AcNyWfsBa9sXp04HcQ,82,3.5,85204,343
M5jiUpAuliJtCYOF0cI3wA,30,4.5,85345,23
oZBISmgb-GjOdj-ik8UfjA,7,1.5,85395,25
nigYwB_m1TQ1WosjSWi-Hw,5,3.0,85233,
o8cX77mJ1nHMMo0URPS5bg,5,4.0,85234,2
x5s5yvoI3QFLBZE6JNNhyg,5,5.0,85345,
AVtMhvR_3bhL9VkRrAG6dQ,3,4.5,85212,5
DCQ3qzzmsm1JZxvW8-bCgQ,12,5.0,85040,
EiZYdEo9p2K6r6CnZ5gqsw,28,4.0,85210,1
Pp_ca_wyn1vsKBNR94ZRXw,6,2.5,85086,
cYuGJKCCazgCnsGGlBxaEQ,8,4.5,85257,44
Kul8tFT48hZQJkeNK5jLBQ,10,1.0,85271,
2v-8QQfMLX2PCz-0S6gISQ,7,2.5,85051,4
Vl9UFifPCWTGKdogF5gnvw,8,3.0,85233,1
M3uV9Y3EDSpy9d4YwyNSAQ,66,4.0,85029,84
VWNvhS3kUYU9qxiFudb6Ag,4,3.0,85381,2
JX3ivaSLYcAmDS0HmLOxiA,11,4.5,85210,3
oMH0Ac-Pke2Ph4btOXiQuw,18,4.5,85048,77
NXoGguzSd3DrsaGRIQXLpg,71,4.0,85050,113
rasO0zMTS6uw-LX9IFbfSw,22,3.5,85226,4
stDINY-WbudvOK9kfCX9Hw,7,3.5,85226,10
bXuHmdgo3DM7JIYNXN4Ndg,5,4.5,85027,5
DVaTciFGcCXLHTufHZM4_A,161,4.0,85281,774
TzlaonysPohYJyLIFTk6Jg,3,5.0,85260,1
Qv0OEziLJwyAqcgtrTsA4w,50,3.5,85260,167
zF7HHlWxhgpaO4IVmaNeag,5,4.0,85004,18
lh2Lpra5q06qDxZeBQPOuQ,3,3.5,85051,20
e4-Clr5QT4l3Rf9R7tQ5aQ,25,4.0,85022,490
P2V7MzTHkC6-A0IlJIPBEw,41,4.0,85029,26
MfI-S7392ENwqWG89g4Opw,4,5.0,85008,
y0YoEY7JamQjTWju6OqjkQ,10,4.5,85017,5
W58P-gdejuMMh2r7OHpIyQ,7,5.0,85018,4
bBZwjf9jAe6j-n54jDcTxA,4,2.0,85086,
HNPipWcVQztvyPQ-S05_2Q,14,4.0,85210,16
6PwKC0dqP9uI85FEP86iPQ,164,3.5,85212,400
YTXTddeFATWYyCkopgaJig,3,4.0,85226,
2W4ib_VaQecBX5QsROf6tA,20,4.0,85009,29
FfI9FOaQqzUxixw6_glt3Q,6,3.0,85086,7
U1ZVgF-kfkvv_rcoe0RglQ,172,4.5,85013,375
kP9GA7pq8CBo9zLNu2ccAQ,3,1.5,85048,9
wpWG_idUVCaMFl8C-H7BSQ,19,3.5,85381,10
YZLtgv4rgOQcDL23fcRigQ,3,5.0,85015,
Zwh1Cn10m9Hy-T4TVPf0PA,12,2.5,85370,6
UXPgUZ-3ywG_tNKG41kaag,20,5.0,85255,
i-2HewuIRF2ORDT8UfrSUw,52,4.0,85260,1
GsvsUBgE-aYIeiCAenN1gA,5,4.5,85004,37
RAUI7uwpMP6dlcHXkavwHg,23,3.0,85339,37
irYAkavSVtIEyGOsHK-yPw,43,3.5,85004,141
3b4efqz06QrLQ_w2xLc4pA,40,3.0,85051,220
9AMePfa0ZQL7AWgazw7HfQ,4,2.5,85268,8
dzHiixYF9f37QkMUa4zYZQ,23,4.5,85018,252
XIeu6wabop6VabOVFNVHIg,5,2.5,85009,43
GRNe0AktRPbZKRSVzo4dUw,11,5.0,85086,1
mFE7N0p3f_7vcMTUy76ifw,49,3.5,85248,245
HCIr-4BvlO-SvEPMka9xpQ,7,3.5,85382,39
8eMOA7u2tubyfd01EZJ8Rg,5,2.5,85033,
ctVYi8RmzXbNfw9syXH1kg,43,4.5,85210,13
9zSRAOUIM3I2ZnY9xwvioQ,10,3.0,85226,9
8vhB52pw85ySQbtYIEPobQ,3,3.5,85260,
03BpJxAMJx8VYOYA5VPDsw,9,5.0,85251,18
_eKvk2GoGKb3CoYolHgRlg,88,4.5,85044,52
SAae44V24aD7y_HpgxjhPA,192,3.5,85215,515
FqRvFzRLFxSixPPsnqKTrg,9,5.0,85268,
m8dAdv-T4p_8FVLeRC_gSA,12,2.5,85016,35
xqikBZI4HvDZbc-Nmuo8nA,10,4.5,85054,
mfQlXkeNhW1vz_1iq63mNQ,23,2.5,85323,76
kRgP3LxO2ugBrC1YpWLncA,131,4.0,85306,203
owwKUc2VFUMgRPZFEgrtKA,17,4.0,85224,37
nvuMlUxjxJF5GPr6De6UlQ,5,4.0,85209,1
iIocWN5ZON8zrdZJfTEwkA,10,4.5,85209,4
6CpAWkTcqqNtGAfOsPeFUw,9,3.5,85373,23
tb-aXpSJpWIlAA2nMVckcw,4,5.0,85282,
TeeJOD68UNUFEk_SK9X93Q,8,4.0,85017,
pBoWsom3mZFYo9EucIWRDg,157,4.0,85381,410
gj8mPhHVqJwFLH-PFRQDRw,9,5.0,85286,
lEluQKIzprv9E6zqoRuufg,11,4.0,85212,6
7J_8O6w79raFRSORc3bRew,249,4.0,85286,502
QIJxtz1zrakTZDgyTNm5hw,4,2.5,85032,72
qB15WElGAlI_eGWjn0kT2w,18,2.0,85032,50
rSCevr5tQJTxPzMIq3n5Gw,14,2.5,85034,88
wGJ5FYYIStYT-ECgqnjxog,8,5.0,85260,
lbygJpJGQThoZbKC_AI31A,4,5.0,85260,3
tCJGEQVqjELLYv3fPNX5Rw,190,3.5,85255,455
rv9T1qGHbh9eXqFpKEPy_A,90,3.5,85262,118
Xr1sQNueTBYgDiijLUqw1Q,4,3.0,85029,4
pfKrs4p1bQ5LVD_tztPHCQ,29,3.5,85331,58
I_dXA5im1doHoHck3-rYKQ,3,3.0,85029,1
HsxWjTRb5cRJm4WkWlZceg,3,2.5,85017,
4i1sXgzr6qILhHav1Tp9dw,17,5.0,85032,
ozufB9ZhddtzpiMIopGlag,6,4.0,85040,
HKCGlqLNzHJLtFKD7qUVww,28,5.0,85019,
K6KIqUPVDXzU8QrG0--oJw,6,5.0,85034,14
VJTBDu7fc20u277sZckJzg,5,5.0,85034,
RxQvlTyTKsEGZCT1dY-9_Q,3,5.0,85255,
yW4_ej7DzJX-T3PCm1yfJw,3,5.0,85023,
wCqwIB2I7Tf046pbuSw0EA,40,2.0,85017,222
UX0Gp7fwXIaLjGS3aupV9Q,9,5.0,85027,3
gHAySnXqyzjanKOCTGzLPQ,8,4.0,85027,2
waJ8_8FGJC-j5uIP2im1-A,67,5.0,85267,8
GLz68jLoEePKvX-qKKbbGw,13,4.5,85023,1
Lkwd4jcr4K_E-uVjjjVH2A,6,4.0,85140,15
pDHn-Pt6RztszCOwh32QAw,15,3.0,85004,28
1Nq7GxjvEDgAJxBeOjR_9Q,92,2.5,85201,147
to2cGMKdaw7ZHbXMzpfhlA,7,3.0,85008,16
X2oxkKB-wlu8xV0P8fbfiQ,10,3.0,85019,1
NxOVSWeyqpa129kTfFpGrg,3,2.0,85258,6
dpQ1zg0cGBmlX7YFhdnT_g,3,5.0,85032,5
tgaJnrdQOeXDWpuL0yw_Rg,4,5.0,85032,5
65t-aFhv4fnzX10BJx48qQ,25,4.5,85210,27
eREIn5_ufXNgKMrxFlYbiQ,3,3.5,85308,
sicHmFekUOTtAJN0ccvnOg,24,4.5,85374,12
-Ut87cwGFsO3444Rd11p0Q,63,3.5,85340,186
pz58I0Oxugx4s3FKwyDQaQ,17,5.0,85255,4
JzNXaLxwWnC_zKOI0tkt2w,6,4.0,85345,46
q_-PAv21KB74TbuOQ_S37A,5,4.5,85253,3
bm6BYbNvzBzs1xecmAQF0w,5,5.0,85260,2
2yZbsUalqPBi35_Rwd3GdA,4,3.0,85297,
c_IIS1gL0y3sCiZgSqMmOg,32,4.5,85016,
XdUj6TgOnY7ZvtANgPvxSQ,12,5.0,85048,
u69YhHlcI1a55cf-iBKYPw,5,5.0,85257,47
D1E_6MBFKeU2a7EQ4IwoEQ,15,2.5,85335,30
PeNVAW8sjDiejCE4XQB-0Q,3,5.0,85254,
viqpiObmUOShhbVWFQ_9DQ,6,3.0,85209,79
IyNADMzFg_WNoU0Lpsh6ZA,4,3.0,85248,1
Sj2uiYuBD8dyi2kOBSVIsA,5,4.0,85351,3
M9od_7kH55p220e1k1SczQ,4,5.0,85202,14
9mIeluTfvObgnMYtAmyouw,4,3.5,85268,5
SorK_8AgBlGWeHDJkupksg,63,4.5,85283,4
YIIK_SFsTUz0FGDo8clxiQ,31,4.5,85283,24
kQLJj9EPzG1RhjNkp9_viQ,16,4.5,85202,29
c0ITJRgeNc6-iI6Z6OznRA,42,4.0,85202,477
OXXlNo095qa3ghyPPw4Tog,10,4.0,85224,
Ay87s1dC19R_l3Uve6LESA,8,5.0,85209,1
67HBCMwv20mciv-NbmZG0g,39,5.0,85006,18
mUbQQBdA4OyvS3oz6ZAF-Q,13,3.5,85308,1
bVegY3CSU8Ogv0m2X_72bg,7,1.0,85032,11
_qE3wMqn9xMTGfFY48QsIQ,3,5.0,85203,7
RpJ5XykQ2PTqq0SWWtDJaQ,65,5.0,85251,2
nTfMW-YzJbOY99vZea6B7w,16,4.0,85304,14
fHCf4N3K7Ul8TLj6z5CKFQ,3,5.0,85304,
LPq-IOpA_VrZ2xRh1A6Ssw,10,3.5,85251,16
P3MxhuaPiI4Kfq1YJMM7LA,8,3.5,85008,4
Xy-CSI2KyEpFEsR6GgyI7g,5,4.5,85251,8
KK1_TZintApflZbpX8QLaQ,27,5.0,85251,3
VqKY1LnyzL1RFjdqU8v9VQ,3,3.5,85310,29
0LKcSabd5Gd5oz-qrHTzZg,5,3.0,85251,4
B_0EDMktBDvRiBxwGtz6rw,10,5.0,85226,5
1F8GaVZgbPC_tOAL-5hg7Q,5,4.0,85281,3
MX_z-X3uBnWSsjSZ5V1oEw,3,1.0,85281,1
Dx8cI9WD0hrDfbadmiT92g,3,2.5,85383,
rVLzlVXgs3x7WhRj0IACYw,11,5.0,85255,
oirW5H3GoaZ9076SHbr14Q,5,5.0,85027,
XrqJuiXiqxwvLNWyTM_bDw,24,3.0,85027,
I2xgcJS5UrkexDX0sDmE3g,6,4.0,85215,35
mZK8IBkMFzOX2UmA7_BylA,78,2.5,85224,212
ZqElInc6h7apsXcX0QrC4w,64,4.0,85014,370
Y22_Cs9s4ZsNQ1-eVBoMAw,6,5.0,85014,
lS0dw65Wk2fWSdFi4XDC8g,19,5.0,85253,99
96fchsHRmm9o9ot4JuYxag,67,4.0,85281,393
e4tpnasQOzkoIegUg__aiw,3,4.5,85331,4
bC9NBHWWkUDnPe8zCKZlwQ,13,4.5,85331,1
m2qv-mG--aQ-bh7iNl1vgg,5,1.0,,3
LRWnwUcH7yyAPicn1Ty8HA,24,2.5,85345,
aQ5dTU00g8RPZnwHDMaDKw,7,4.5,85014,14
OlGImeovM5U14T5q5DnVSg,4,3.0,85249,
rtTzTba5vNXtAHJYJ-wgRQ,220,1.5,85212,144
_SNuusrq8tXEY0jqjYr8QQ,10,3.0,85021,6
UpKPC5LU5mgPEPt0I20NaQ,4,2.0,85021,6
0s0Xthk1JWrBUu74M81Xyg,109,4.0,85204,336
pCfZoFRSRDN_ks17mc_a4A,13,4.5,85286,226
DtWpR5z1WYTcuDXr1_9N_Q,12,4.5,85286,51
3evTvsNzcbd5brr-dOfaoQ,5,3.0,85306,
loeW2G8tSIp1cLD3zB1NoQ,119,4.0,85085,466
O-KBp6VwHTv86Szk10xi8g,62,3.5,85233,83
OAUOUZB8xAbJlhnLJhlGYg,41,2.5,85297,32
oNLIQIcITdepv7MvL8H_Ew,22,5.0,85258,18
CrhczedetSPk3MN81fmN9Q,4,5.0,85257,
eZ0eCdBhHYFMkylc-PhybA,3,3.5,85226,
pSbSDU5Rj6d9zfLEPpVwEQ,7,5.0,85018,
dfTqdlcuEN-vHWKYq29B7g,78,4.0,85014,66
gsjBhnxq36Zd3dtgZS-N5Q,29,3.0,85233,523
A029GQG1S3ekPit6cObcBA,109,4.0,85233,123
wvyPYYGC1oJiRGFDq8pXvQ,4,5.0,85225,
lir3-VtoYAy-E0LB-9XBIQ,14,2.0,85234,12
lCZBbY3eXn6sqjwXJN5kmA,25,3.5,85395,120
yU3OrrCmDDEqidyIrrcDbw,3,5.0,85351,
zHAPadm8PvZetqZxOtFlRw,10,3.0,85031,4
DAdiD1_FP1_JefNlh8xWDw,7,3.5,85224,39
i90S4tfxFm0W2FZnhpJV3A,217,4.0,85253,621
fVXGyrsKIS6CNH_VJPanOA,4,5.0,85008,
vOS9xMjRTFmupAqx7Ql8nA,47,4.5,85392,23
hZoIxNxron8LjWve8NIHoQ,5,5.0,85351,
ax8OodMsZyi6GXVXlffgBQ,35,4.0,85224,317
pbX6aNOp4SG1zlGwzNAX7Q,19,3.5,85306,4
BAznkipgoDKF_AMlUkq1BA,23,3.0,85323,16
NDR0YifZzNyVMagdvuBo5g,6,3.5,85234,3
l5TdrdS5THve-tJHRRu_AA,6,4.5,85234,10
7aNZLxBDWnK5V8lJ_f6ucQ,6,4.5,85209,2
AvC4DNDxs7XiET_RsiwMqw,29,3.0,85282,20
r376pVYAy7aE2zsxk1ZStQ,15,4.5,85016,23
65nj6HshFDQWY__lJ7RU_A,24,3.0,85014,45
zxXOXs5v6EAbUhMTF9mxew,3,1.0,85282,5
WBlsdCXpzNcD67oQ_yyNDg,11,4.0,85301,29
3jtgg_GXH2-GQss_y1RCEA,9,5.0,85301,
gt2-1YqR2-_bVzPiyF6kyA,4,4.0,85308,5
HQObn6hrV9WoeFObGfa2YQ,199,4.5,85296,106
hZGtNnClLkUIh3g3DANAag,4,4.0,85298,2
ez6zdZFFgHuMDda6YvOi6A,15,4.0,85388,93
VqF6Uky7SGfjWitgxrhlJA,9,4.0,85298,49
axcgvICpWldeX_RUxKy6KQ,10,4.5,85202,3
S8FDnhP4WKlRhJxSIkcxFg,130,3.5,85382,190
EC7NrIHKk6i3US_XJlDWDA,166,4.0,85251,1280
vhKUBKcOm8zOLxeS3XM9iA,67,3.0,85032,120
kQAUenIV0_kJmQ8wEsGMeQ,3,4.5,85351,4
frCxZS7lPhEnQRJ3UY6m7A,1694,4.0,85006,3435
ucwl_p12Iw2bR4rF5xhAXw,14,3.0,85308,4
uWjB-KjEFQekRpI-91022Q,3,2.0,85226,3
foz0HbwV7LBJCvSxOmMM5Q,6,1.5,85018,2
KDddbsBtgsDb99BZ0tXwnw,15,4.0,85006,3
VG2--PUulBcJK09c6zue_g,4,2.0,85234,27
mI5UYpuYxjiumMLgANoa9A,70,2.5,85206,181
olDOYY5Zjy375Nz5nlZG_Q,25,3.5,85281,248
4hppJsAcgXVQSyEFxiUWwQ,6,4.0,85086,13
JFPmKPRjoBukISOLxS0UCA,3,3.5,85387,3
6T7KL9PQGm9u1xsc6WSdGQ,4,5.0,85308,88
aEtiYzbADnbC7qeIt7hHAA,3,3.5,85226,
l0WauZ92kRg9bu2oxHj4TQ,130,4.0,85022,214
M9fOuiesoUSaouOqNQ3U2w,149,4.0,85283,277
2SjbysAT-GKznUIxuJoKtg,18,4.0,85016,
Fj0LCVOpI82xQqvHT46BQg,4,2.0,85210,6
BSh_FCWuf5b34O1P0QlFLg,5,1.0,85258,
eGEJomznMqJYqGun2ZXRpg,4,5.0,85251,2
k24Qbr7q0USxga90JYel3g,4,5.0,85281,
IqsQRoiVE535Z2JR-7xoWQ,12,2.0,85281,41
_qMgrnU2_DLSxQM1f8-Jrw,6,4.5,85234,1
3c6FN1VrCAV4s60PsWTCLA,14,3.0,85202,60
glc0_AbiJmdzAxC-rBIHJQ,3,5.0,85257,1
2KFyJFf9EzreAFCVSNPV5g,4,5.0,85381,8
FDqC6lasv15GipyGKFNHNw,3,1.5,85381,9
hXwotUnj8fHLk7Zrk-bgXQ,19,3.5,85018,15
aN9_vIN0zJRWMLD5ehIhBQ,23,3.5,85251,40
j1-MhqW0Lesq7YtL1t_wAQ,5,3.5,85254,3
ks70sdZSAetq9BCPHY8Vjw,59,4.0,85251,48
z5eeJA-ItO9EZDkQUoxGyA,40,4.0,85233,92
UohLJDEsTZK8KMjUxUIJog,9,5.0,85044,16
1McThtjwSjBE3WOs6IVTEw,22,4.5,85251,82
tl0bQPHwFqOlGUbWTCE9_Q,22,4.0,85395,4
38yTPb9Se7JF6ramKBgMgQ,24,3.5,85215,20
7yTtTjsZLi5Ef1vsr6ZPTw,75,2.5,85392,145
6MajXLujQQCel1pzBSxuXw,3,3.5,85204,
D8xQLsOBtOHw8z799FPIvw,3,3.5,85301,1
5Ux153Q-MPYWqnWPPsj3EA,16,2.5,85006,20
ZyIlYBpGnRsLeoEfXo-mxg,36,3.5,85206,154
kRaae4oSCrGWM_lgcY81iA,3,2.5,85377,3
EwTZaKcQutYFsvbY2bPR6g,3,5.0,85254,2
8gq-Koot0U2g4K-aqMbPVw,10,5.0,85254,18
Mb7mnPOPvcB4AMXUpwsMDQ,3,5.0,85003,14
LkNU0N1bwc73JkGivxQPwQ,9,2.5,85282,16
V0kTGj2MtNw_b_1J535fZw,19,5.0,85018,12
NL95JTNTh_gebXKSz2ElNg,31,4.5,85018,13
7Zmxle5A6XTZACIHgiC98Q,21,3.5,85250,2
k9Es269cmFsDAbvWmzlCLQ,14,4.0,85395,9
c7Ar7Pfrft6R3RuNk3SOzQ,3,3.5,85210,
GZ6kYHF0zOgGLSTnE9pRLg,11,4.5,85226,38
AkD1X9sZ4wrbYxEvESeWIQ,3,2.5,85255,28
xyw1u6COx67m-XcHUccZPg,6,1.0,85051,
U5O4K6D1x-URE76LL_Jyag,4,4.0,85022,7
LPrDjEAKZzwrdyYeLqsLJw,72,5.0,85387,3
bZlpDJ2SDi57XkyCgtm91w,22,4.5,85051,2
c58gaNROUk3ltUQrpl6OJw,10,4.5,85281,63
_wS2V5ZXajwK_q-CNJIuyw,3,2.5,85251,
eFL22-djzEaRGmafxDbUwA,25,5.0,85258,50
rnzDEVKmPJzYQN_vTmH0Jg,9,5.0,85250,6
acgWA3JAfXevWJS8bq5fDA,5,4.0,85258,
kGafTsB9VhO7brGC2yju9Q,3,3.5,85203,1
Yar8jR2a1XA2JuRKfmNDcw,3,5.0,85053,5
51LTJAKg-bP3sLjhVyPhsQ,17,2.5,85018,5
jf_h_Y8iNaduXJvpgLRPng,195,3.0,85286,884
JtqR1wd20z0E7W9Ix76uWg,6,3.0,85395,64
OsuBqr2L0-5W8LGAsg-p8g,115,4.0,85210,195
NI5WCMQDkHVGyh_mpUssgA,3,3.5,85302,1
sIgo9Mo9-uajsevtdtg_6Q,3,5.0,85283,2
pDp_aFSPj4lEIMbprDEt3A,3,3.5,85383,
aiX_WP7NKPTdF9CfI-M-wg,984,4.0,85281,2393
ObV7olsEsNYjuMGNJ75jNw,17,3.5,85282,39
d-vst6WI-dd1J6C2gKBz4w,13,2.5,85206,4
qr1hqucQclj38xSOjpfzFQ,11,3.5,85254,7
YkoFGTUCchIB5gu9UYDlcA,4,2.0,85018,1
qVQGfHphxolps16v6g5X-g,67,3.5,85032,130
RFj91Y9mk2d824QyD9JTzA,33,3.5,85204,170
ztOM7xebpPl7OUgOELEqKg,9,3.5,85023,10
r27rqXEjlRsHVIScTmmGzw,3,5.0,85281,1
TqL4BDwjIGFR8D6BpYUGJA,18,4.0,85022,
PMcrF8hMxaPklx-Yf5mWkA,76,4.5,85022,25
EhdDRD4bmzWFRTlGVHNRiA,3,2.5,85201,1
X4J4aiaCaJKDeg19AI8vyA,3,5.0,85251,4
Tv3EYtKr3f9gGTrS_Nz-TQ,3,3.5,85213,1
Qmerg7ljbb2xiBkk6JXsLw,9,4.5,85224,
Q9zcPQit3OMWoNRLLK7MQg,75,3.5,85054,548
dzBSCXFCrnfyaN2PkR0nHA,4,5.0,85283,4
88ntJxZNxRIY8W_hji9pzg,86,3.5,85224,92
BvzuU9uOIH71OAXM0dMVQg,34,1.5,85381,1
SSCH4Z2gw-hh2KZy7aH4qw,336,5.0,85201,506
heydWmmHMZqewyrVXifkiA,5,3.0,85308,3
Jd2NUZeVeyWi1tTNKXMt1Q,398,4.0,85224,1139
XNxAhLvEr5TVD0r6BjYU4A,16,5.0,85225,1
XZuuSdUWVnZWPvU-fxI6fQ,4,5.0,85040,7
sPUA88xPE8rQAVbPNzp5gg,3,5.0,85020,
pCrhiOxgTjHLzyIj7R1eAw,16,5.0,85003,10
TolwZ3L28or4E8SVTZUf6Q,157,4.0,85020,487
A-vb-4ck67bw2yATWfmlTA,5,3.5,,
4xdHFC1ExTfwqyUX89biqQ,3,3.5,85295,14
LcmTZeZAE4cb8wFel8JGZg,11,2.5,85338,20
ewhnH-GORPNhJtu12QeHgQ,3,5.0,85225,3
hDz1yo7wR4vxQbz31d3_Cg,20,3.5,85206,19
yxuuaMpEoKF45gh9p9akeA,4,5.0,85206,1
_4UBiaaIJXV_hLSfSPdIxw,3,2.5,85224,7
W1bQtwcjf0M9UnAtQ-KDFg,3,4.5,85003,
MvV8meCtex8FgyAjPd5_FQ,5,5.0,85378,
TdKJjgiXMPXDamGK-IwFZg,191,4.0,85308,568
MZZ508NJdob43btldlfE6w,3,3.5,85048,3
3w66rzZq_rjA1kSmVt5Hew,6,3.5,85050,8
tireuI1twjZ7dmGgDvIRlA,17,5.0,85034,8
asH1_dhUbNTPEHvPpW5A4Q,6,5.0,85028,5
N-fv0TjH8UWW8VrQj4br9Q,18,4.5,85260,22
8IP2NjG3wZBfylZ7dmpQaQ,11,2.5,85031,32
sf0hTgXKhk2huwCNUkAxdQ,3,3.5,85286,
c763nWvpH0RtBdqByVIEqg,17,4.0,85012,34
IyfPh3NqygZqZ_LKYXehKw,9,2.0,85032,5
