business_id,review_count,stars,postal_code,checkin_count
zjySmTfL9WiMDVgp8-Jp3w,3,3.5,28036,7
ykJM7EuGziATZ5u2qIT08g,4,5.0,28203,57
6aFAEeJ3nS-iWGt7Tn7S0Q,5,5.0,28031,
NFTh6mj3X2AnHJCKIFUk5Q,17,4.0,28105,33
nJ3mXjItS8WcwhYbzbfDQw,5,4.0,28209,4
HAX1zec191t7QkT2sBZ76A,4,3.0,28270,3
zdC6e26U7tS1XtWcJPKCcA,3,3.0,28027,
c6Q3HP4cmWZbD9GX8kr4IA,8,3.5,28213,9
c7X2SdKxVJMaOnFROO8WEg,21,4.5,28205,29
WUiDaFQRZ8wKYGLvmjFjAw,76,3.5,28262,145
5q6Xh-UcJa78bp6dzyaE7w,373,4.5,28203,756
mtTxLi9CZNOsDqOTJH3pQw,4,3.0,28206,10
xMP2oDrKFqyUrN0Uww85EQ,3,4.5,28205,6
bA21m-qbgN_GNR6g-AlfYw,30,3.5,28056,19
aLM-0HupwCE5r7bMIcQ2TQ,3,5.0,28104,
qts-sjm1sj3oiT_Rch1zhQ,6,2.0,28134,17
JtBJ-UPbVjJvqzqkO-jnjA,3,2.0,28134,2
llE7OE0-4_LTS8rpGKOO-Q,5,4.5,28269,7
WZdHNL9F0VWPRGLf1GQcbA,28,2.5,28056,63
g-DJdpZnDpZ3gGpNxitxkA,4,5.0,28227,4
lZ9ReZiXX8p6fgEQk6gIGQ,4,2.0,28120,13
78Gz9WWdiEJMBfQ1MFWUSg,4,5.0,28078,
aFmcd1VXT4f9gjLWreSQvA,3,4.5,28226,17
-w82J_sPNAGsTBHbfGrexA,12,3.5,28217,63
ckq5AFmnoNxK8xtuRVtnsQ,5,5.0,28202,
K8NUJWxYXlRyNS4SzZYMrw,17,2.5,28277,71
suNxw61sND7uCfTXW6XcNw,12,2.5,28083,92
DIrxaF627Na2e6vYNCn6yQ,5,3.5,28036,
NS6sflNa3aqP74iDzIDB9g,5,5.0,28227,2
vpc6edTXooKZb_KD3p8-jA,3,2.5,28031,
VpXlnz2dD4KzPw4yJ_eJ3A,5,2.5,28027,26
f4mh1Y0rnvbJRfQ3jPkqzQ,52,4.0,28027,833
MP0K70FGLftGI5Rxmteskg,3,3.5,28262,15
vS_smYJauSPV6FjEo7n5yg,42,2.0,28262,488
I7HBBsdpx5hNS4o79S9zSQ,3,2.5,28078,1
miQekvFK9p_yt5e01v9VXw,3,5.0,28207,
3bHx12bCQFr-BBUs3arJ-w,27,4.5,28027,14
z_PrJbSpgtK218RYIfqmVA,3,3.5,28025,7
bQczh42duSfnETW-73xaTQ,7,2.5,28075,13
mhpeV-UzQL2LT5pQnyjquQ,12,3.0,28078,47
M1AvDkm6oi0wAy4-l_xiJQ,36,3.5,28202,132
6zmP8-m2xhN2jzOBb01KFQ,7,3.0,28211,7
0v984vlPQfb4VZWvBJSsfg,59,3.0,28202,192
uDxrdpVzU3QAWYkwR-X5EA,23,3.0,28203,8
O_UiTH7YjqTS1UTk-shFnA,4,4.0,28203,
9YiIVnH_QokhOCqho28CPg,5,1.5,28210,9
wtazPNyIbsRMHmrpEYbqZA,38,3.0,28262,57
bKR99NjH1XIEihWC8M0ytQ,15,4.0,28227,
e517wQa4tdkNMzkVjgvkGg,3,2.5,28270,8
DZ87I3-8RsOr6B8XL3RiYA,3,3.5,28226,4
b6ucK0IXd9L4pBYrysBNLg,8,3.0,28052,6
Jf6C_6IkLBCpSZTjQiC-Mg,21,2.5,28210,47
WtqzJcXEt5lc0hSeJ-bAJg,24,3.0,28078,133
om4t1hDJRQqTRS9VT7ADhA,27,3.0,28204,35
UQA25zKrqI-eQjxvDskFjQ,4,1.0,28227,2
qesPXWJdHlRnB4Zz8iBNeQ,21,2.0,28078,54
33rUbyxBRbWeOsDv_PA1LQ,3,1.5,28217,1
Ka3z0iudeviL2nEKZ4BeYg,50,4.0,28203,109
5-4mAJZyjC7rZz_hEBT5Cg,3,4.0,28212,31
3GGmY_QhqHnIEqk62p7cVA,42,3.5,28075,43
xA9EJAQF1Vr0K1P6Udr1UA,3,3.5,28012,2
6GTrCVyySh3JfRZskz-d7A,6,3.0,28027,1
E7_qx909tNH3vEdzST5DSw,3,5.0,28277,
OIzj9gWbdUzWZo8Dssg5gQ,3,3.5,28278,21
VJinZ0zOqsmNL5JYHR0ReQ,3,3.5,28203,13
k6gkV8-qPNKt0uxbEiTmkQ,12,2.5,28262,11
ZWFwUOPFy9QrgAALhz_V1w,11,5.0,28078,6
d5sU8KYPv426hwrTjWiI9g,4,4.0,28056,22
2Ry7PhEAy7nDZyZCBYmJ2A,8,2.0,28164,2
HLiaFj_YNGhsdwZS3VmXfw,11,3.5,28025,13
fDF5JNdud7Ga9BKycgsjTQ,5,4.0,28226,6
LE690XZV6vKEaSmfbFhTUQ,3,5.0,28217,
ci8DUyiHEs6tToRNKv2Q-Q,3,4.0,28081,32
mR8ig03ARowcVELNEeQXFw,3,3.5,28213,
8-ymYx-T2TGZ8n2p3ct-9w,7,4.5,28204,12
IDW4QFw-fN_wk81G9OV-Mg,75,4.0,28204,605
Q_RpxG-YEMOk_yniWZfHCA,3,3.0,28212,20
TgDeUb2hCaSWm8mcEZ1I3g,3,3.5,28012,5
YIkICY9RC4tMuMux_cwGjw,3,1.5,28211,4
fnXC8u-uVbekWQcugFvt-g,4,2.0,28277,
cXX09TeO-mPc1Nww_rk8_Q,28,4.0,28105,106
_csgqOCUWhaS4KAwm9Rcag,46,2.5,28273,199
h5ihGbkb8127_lk9iNnV4Q,11,3.5,28204,67
DfvNArMYj0Jmw68GOCphFg,7,3.0,28205,1
-WNHQxsBfE3gRgIdW2vwsQ,12,4.0,28105,37
ERu5CuuGqt072ZViwbsCsg,4,4.5,28105,3
MTsJ7fdfUKWJoGWWmNG79Q,5,4.5,28079,5
NgU3L6EE2XVgSO7a5xJ8SA,9,2.0,28027,66
zLRiLXCQAZNeDxy2VLhcaA,3,3.0,28277,8
Jts5vT3G8D-6Vg-ssa9kWg,8,4.5,28227,2
L2N6cnMkxbe9_96mjDi_yA,4,5.0,28215,
EBywsNAway7Ftne0wAm0Tw,11,3.0,28205,69
mcMNaDARo6TXEnwm94xBOQ,21,3.5,28205,66
z79chiQq5PWApCURaJxA3w,16,3.0,28031,3
CJTF_t-VTzVF1AH6vt2DAA,8,3.0,28027,3
LdA9FSWSIqj-6_fQw1mLdA,45,4.5,28105,1
cbJRBViDCVCFC7SOPvV6Tg,3,2.0,28217,4
4OCHor3NL5FymD4Q57yB_w,6,3.0,28273,45
3vkP6t_kKN3JT8MMUaBVEA,226,4.0,28204,888
lTidZpUU1ikHfoKctJCanw,3,5.0,28027,3
9mYuWEqfwmfQh6qvhV8oPg,4,4.5,28205,22
ecwBA0TqyzW3pCmFm1jpow,3,1.0,28210,
n2WtavwwYZyOr0ImiImquQ,11,2.5,28216,57
fOKeVUHC7nb6c8G5sILdHQ,99,4.5,28078,233
aV4lmp3mQHhi6eykm2VOBg,13,5.0,28209,4
8F1mm36QXYRph9_vjBlTuw,8,4.0,28209,16
fycIi0QxogW2yNmcNu1C1A,8,4.5,28217,7
1nntUMCGRPvqr2le42HUIw,9,3.5,28031,2
I-6_QxxGb_SsvFJhjrphVg,3,1.0,28269,
K2H_d8GoJDfTqgYVPK8gdQ,10,2.5,28269,11
EX60HoNJRs3ALidmEGDgWA,33,4.0,28263,216
Cn7LdD5-vewWHm7NWVqMKw,5,2.0,28212,2
61_eWCVWBHmfuJ8AW1zpJQ,3,2.5,28027,1
2INywT8Bxcb-El-6x3IAyA,49,4.5,28078,140
Fkq9XANE0HwxkOYRlo0VMA,9,3.5,28105,2
lHG_CQdUR0xQnrivvYqssA,3,2.5,28273,
9Q5cvskhn2SXWUx62qZaEA,58,3.5,28105,70
eErUMgKs34zV54cuL6gR1w,3,5.0,28031,
WqABLh9Um6_6G3Uwkuj3qw,13,2.0,28079,16
CwRPGB3WzV3IE4IukRFI2g,11,2.0,28226,12
pOfQ5CnE8YxZeQNvf7WdkQ,25,3.0,28262,152
A5cXm3led0h8zkek06lRHg,7,5.0,28173,
M-AvKB7yDY_3BpqsP_bHZQ,7,3.5,28262,10
mCKquKkizL5LSX7ayupF2w,12,3.0,28105,
UsoHlPMkRVtl4s2qjYoxSA,3,3.5,28078,17
Xgz7-7iXNqJj_ulKB3UnzA,7,5.0,28202,3
2hs0mJyuqjwDzcZ_qT9oZg,5,4.0,28079,8
irx72bUk68BCHmKN9ZYHCA,53,4.0,28205,293
fBfi9TH1f91MRIyvPoL-hA,7,3.5,28104,88
ObcMSGc1uotvpnwydoStIg,152,4.5,28204,529
-vP9rja8YzbRRTX5C1K3dQ,6,4.0,28214,11
ZP0WjPxvJxT2YxW5O_QlSg,6,4.5,28214,19
RF2ufigv1wgpRFylvhREzA,6,4.0,28206,9
qH9yU2LWRn8W29WF0tkeYA,4,2.0,28217,
J3-aXlcSCkONb_ccRpWE2g,16,3.0,28054,21
nM-MtuDPVKbe2I5kghLY_A,16,2.5,28273,23
8ZtdhktKvNWGsZqBZkIScg,3,3.5,28027,2
S9kfL9bFU1ACksS9kRrjpA,6,2.0,28269,4
L6_GCYFCDhrhM6c_pUqbHg,6,3.0,28213,14
xlUoy-OVO-EgZzfiHJk1Hg,12,2.0,28278,5
hZDIDUooZY85uFywTllgFQ,6,2.5,28273,12
akPyWKARJ_-ZmnVBgpLyRw,101,3.5,28012,96
kl2kDp5-OzXTZUy9a9Gz-g,3,3.0,28205,
vwED08pmUlJQkJi7npKFJQ,13,4.0,28273,10
n5wZxYrle8ROuK-Saq-yyw,93,4.0,28209,141
EijCyFJYqszy04Wgbk0Nfw,15,5.0,28217,5
QIcXq4Z3_2lvg9rmmoGF-A,62,2.5,28217,211
vIEDWhSPO8AZMBsPsICucA,3,2.5,28079,
3e5LbQVdB2V6v2gkhzqaAQ,6,2.5,28104,8
wEhtqcfrhVbg4--3DNUSZw,81,2.5,28216,197
WTFDOzWP0DYzRDIjzEXwBw,9,4.0,28012,11
88RyGMiwYg-yIDWdT0jbsA,3,5.0,28209,
2Uhulxv6at2RXPg-ytYRdg,12,4.0,28105,43
hWK2yx9mFbr7Ix-78Ki8rg,14,4.5,28104,7
EKeoVnk8s-vPjr-aO5sdZg,3,5.0,28208,1
Y84fM25GsIWfS7E0dMIKDQ,62,3.5,28202,217
YusEQe7E7UakN21E1EKFzQ,3,4.0,28211,2
z8ELN66GLF1M7vhfx3BdhA,3,5.0,28211,
gU9_PUEdOOoBaSM49SRObg,15,3.5,28216,174
ruiI0UH3oXrekeyelB1yVg,4,2.5,28208,25
sOp6feWKRJ_77yP2z0S3NQ,5,2.0,28081,2
BE04tjYHMhaHRQbAiJ9JTg,7,2.5,28083,13
SFov0pG7oHZMaqc9ow93nQ,3,3.0,28217,23
x8YzT_havw_O8y4uxzBb-w,9,3.5,28209,
znvLtOdq9a6d0qbwzb_qdQ,4,2.5,28173,
OIO1RVPOE6kfqnPptF38-Q,32,4.0,28075,29
y_9Nu0uJ-VgRbGZf_6g49w,6,5.0,28273,
kkvhQBT1Oh73sVSYZMXeDA,8,1.0,28273,58
UONIdcsPnUSC1IZmlUUCeA,6,4.0,28083,14
MobK3qIaoito7EN6MVZ3pg,5,3.5,28277,26
pgtK_RgfhQZCKoOE-Hl7-g,6,2.5,28209,13
yOeqMJ5dyXX-ImaZr27sbQ,4,4.5,28205,1
htUK5uwiYlKB4coz8-b1XQ,7,4.0,28273,12
npWIa3dIPEV1MTaZNq6AUA,261,4.0,28277,856
bxUtoCqGF9GbiPv5DbOs4g,45,3.0,28277,263
SESw5YLsGVIVIYpJO3FlWw,4,5.0,28205,12
CXhp4Qttw2D0IjOj54zRpA,8,4.5,28205,1
AHqOF7JukaDrheCHDFOwfQ,9,3.5,28134,125
25Qrw76juedI3ClzSEDjhg,14,3.5,28134,42
eRuZYgRvXLWU5uhjT-Oy7A,3,5.0,28078,
ooD-vBZyzUUWUpPESyd2YA,33,4.5,28802,40
PQx1fjGAeNfg2vrbLAsmMA,8,2.5,28273,139
lBf_TcBWS7XF-TA4qT8MgQ,117,4.0,28273,531
60BkJBkaOkILSDZJ-e2utA,4,3.0,28027,3
MJv-Pt5DfLGQBRK9KbC-hA,10,4.5,28203,96
SzaXTw4F1zk5qD3HVgUcfw,3,2.5,28214,7
XV_eSEqssPsDy2sQu_N68A,6,2.5,28173,17
rxC9JrOBnyxFPQmhPBehdg,11,4.5,28269,1
Mk-oKCSGqTOnv3JBxboUZQ,4,3.5,28036,4
3U16jGSAjVx4iuLe5s3Zhw,19,2.5,28226,30
L5mjzJYPhKVv7HrPAJJLpg,3,5.0,28012,12
7joOT_1CabyjtJh7AIHjyA,4,4.0,28217,
KbLI0QELlAwbfDUVwo43DQ,240,4.0,28277,427
mYxJBFWPCrvF6BIFmJK_7A,5,5.0,28211,7
Ij9cL1cnKJphNs9bQnKWKw,19,3.5,28262,45
-TFv_KaosUSnkJFUb9MUaA,6,1.0,28210,1
yUnpVL2jHCdaO6qSRgQTnA,4,3.0,28277,
nmon6mp4Onywn50iFrocrg,5,3.5,28277,109
r_oCBNif2W8mnSXnrXMwPQ,5,4.0,28277,14
pK51NY3coNYqAyanojMtGA,8,3.5,28204,2
r3ATwPjhjcw-zk6wPl4KnA,10,4.5,28217,113
bNWW_GHLF4M9Pmao4nxpeg,5,3.5,28173,1
YO5UwMSdVGj1Fy-JcAVhEQ,3,2.5,28211,12
Mva2fHrSRNjzyUb4uwlU-A,15,4.0,28104,8
1hBmklxIBhw9nu9NjOTaQA,9,3.0,28031,3
GwRy6U_vkA_2-refL8h-Mw,5,3.0,28031,4
Kh_a2U-LYn4mmJTLGnRIvA,3,2.0,28209,33
E4cD_348k-IiF15vqYRRJg,8,3.0,28277,14
QKhqry3u6JOJub997uHSag,3,1.0,28025,
iWVb2v5_oBD949Z62ySRog,3,5.0,28205,
WcM95CvBQCokDVM1M9rBWA,5,5.0,28012,9
khT8F-8gUjZzStFj6s084w,9,3.0,28217,17
mpEHqp7sbqylm6_GHdhlDg,8,2.5,28217,35
1BNWWBwUVxQYUK-IKXRdxA,23,4.0,28208,51
xRrHTt8LcWsGgZ7yQ6YSYQ,87,4.5,28031,324
XZGzFM0iUQ8eYf_ohaQE-g,4,5.0,28227,5
sVqV9lzvx98kWU39Fn4c6w,131,3.5,28134,200
1x_VcEmFIGwO5x8DT5F3Hg,4,5.0,28226,14
