business_id,review_count,stars,postal_code,checkin_count
8y56fOiKhtCnqaiYB2S2Qg,4,4.0,44308,13
tRVx2c89coruPRwYhGTcTw,78,3.5,44107,134
ORUUPE_Ahrcop9K7h6rvVQ,3,5.0,44223,
0lCpaZpmjCFEmtti9O9ZdQ,3,3.5,44026,2
w5WBrukfSuEyTjYUYlV4Ug,16,4.0,44135,239
8XQmnE-v6RrsHiqEz6QXdg,4,3.5,44060,
YvxQOMstU2MVDr2uNHs_vw,42,4.5,44139,168
veXxt8rGY_RJPpA5QkHT9Q,97,3.5,44106,225
CfEJGhzBFkWKoe-UTT2jiw,12,4.0,44070,7
iOudjMD1sFvD9QTltPQiTg,15,2.5,44094,14
8GL63JMAiD0mI-Z1Y-kT2Q,5,4.5,44114,53
yh-NN-dCaxxleNcI-_bsUA,7,2.5,44240,12
vIAQV1_p48AsKP-B9iULwg,6,5.0,44116,5
GDOAg680Gmi6S1MlhU7B1g,5,2.0,44128,5
1cLXGXThDYZ5WK_KpBLtkw,167,4.0,44114,614
BiBILjVBFpT3QtYRwhrL6w,9,4.0,44118,2
paN928wuyEHzxw7Zn5_snw,4,4.0,44145,74
c1HfT-Rm4iYSxsAsk8eW4Q,5,5.0,44113,
kpM-NegY__31O-XMEEesdg,4,3.0,44145,48
XguKrY0dAuaK1W6HUlUQ1Q,29,3.5,44221,23
akRtfcCezswizRIaAqJ4fQ,9,2.0,44145,44
7fiIMBxbOYdAv3XMcmWivw,3,3.0,44115,
Svs-B-a5-13D2dGTKxLsyw,4,3.0,44130,9
GlZMZrA-whyu1INVXcvRnw,3,4.0,44114,
UuxH5yQpl73XJkzfLN-qdg,36,4.0,44115,637
J-0_mtG3QyZ_7pBMoZBkfQ,16,4.0,44094,91
btRo30YqzXeTbgxk6gnLMw,3,1.5,44140,13
pEMoLmRkS2dyIm_KpIr4hg,3,5.0,44106,2
WEouNHHxfqGa8gYAnyiyBA,3,3.5,44060,3
VGRn5KgYKMkqdIKtBUzQQA,100,3.0,44115,100
FT08e7Kzgi0Eu0hI4FFYTA,4,3.0,44107,21
YpwmtRca3LEen-GOiuhI3g,3,5.0,44135,1
NQoHMr3U7fIWRC1eCTYe4w,3,1.5,44060,1
Aqz58iWN2FNa0Wq72Y6ZeA,3,1.0,44114,
n7rL5vPR5zHvTYvxcnihAg,6,4.0,44114,2
g3HuShjhEjDxOy6Ykp9l4A,8,4.0,44212,27
ECqc9Xd0dTdKmcNrbIizAw,54,4.0,44240,96
SlV041GfQWhMM-G5R3yerw,11,4.5,44236,6
lK-wuiq8b1TuU7bfbQZgsg,4,3.0,44113,79
1cc7O0VK7INwTvX3Unkq-w,4,4.0,44333,1
C_5X1heCp_eQyzfmM6tGog,8,5.0,44017,23
wztnDEbXD1VNvHMMPj2tMw,42,1.5,44056,43
oHeiAs-mnDJU1_4BD8_5Dg,49,3.5,44120,132
2Oj61EYHwbH6JdrLp3alSg,3,5.0,44139,8
tpG_KqvR1v2GrlLKNAChBw,4,3.0,44125,5
7aUnd76Myn3ocL425AWGeg,14,4.0,44240,42
eY2i8JbK0AnFvMs-CyV39w,8,1.5,44123,1
iQU50k9xnXLtRPfrwRPVMw,5,3.5,44011,63
8U7Ci7vkcthVB-zOtMJRiA,3,4.5,44023,4
kgAFhUm4sim7RPnNDvSZew,7,1.0,44070,19
romgQ86SUEloWN3RcE-WQA,10,3.0,44124,21
BQwOjb8XH_Mlz75HnOoJYQ,3,5.0,44126,
thFG6fpgVR1CEWGdj489kg,4,5.0,44133,
tKiPXxot_ckdlQlv1QNpPA,3,5.0,44118,3
itnExCtgV-49SKgMs3M7kg,18,3.5,44256,45
93_7V-WsgBd8-s_c9_VchQ,10,5.0,44142,9
TIpwAF4h4A7Smj17T8uL9A,11,3.0,44023,2
