business_id,review_count,stars,postal_code,checkin_count
XOSRcvtaKc_Q5H1SAzN20A,3,4.5,15342,
EsMcGiZaQuG1OOvL9iUFug,15,5.0,15090,
BnuzcebyB1AfxH0kjNWqSg,25,3.5,19355,
FmGZh8ZwEnSO860_2eiYHw,4,3.0,15120,
EJFdWX908N8Yc2XG0Lky8A,5,4.0,15201,
o1fTwfqN0sDFNpV1CkOPPg,16,3.5,15201,
-nHkhiuerqmfBG3v2v9O-g,5,2.5,15236,
HcEJ2YiSLX_mT3RE0hvKWQ,21,3.0,15222,
shNBn6mTKxZ124yPC_H02Q,3,3.5,15236,
gSr8zPc8M4eTxwGgPb5AsA,26,4.5,15108,
T5CdfrZWw-uW9Y5L_sddqQ,9,3.0,15071,
mLP-jIIRdoaYM7fJqqFurw,53,4.0,15217,
AXb5gCwqHl-_v6ZIMb1mXQ,43,3.0,19355,
htKaC4cHY4wlB4Wqb8CDnQ,4,4.0,15224,
7m9ux0KgTe2NwUU0XA_9xQ,14,4.5,15216,
LOeVGnlOti05f86ZZbgY7Q,3,3.5,15226,
Qs7X8UTwtp9SvtxvEP4hLg,7,5.0,15238,
lBNPDcSvmUbq7W69HvmRTA,15,1.5,15223,
LaWNGoxsBBrzm6C7Driz5Q,4,5.0,15102,
ualXxlORdVbDlW-Ukww0QQ,4,3.0,15090,
bLva9YGmDcnar3YKHE2XzA,31,3.5,15217,
fktJOSE49u-QQRlhoXlS0Q,3,3.5,15203,
j37Z4LIXTH9j6KOq9aX8DQ,169,3.5,15206,
UFHwS_Bb5IrVYFWGutkY7A,6,5.0,15228,
4RhyluqR0eXERECBLallXQ,28,4.0,15236,
v1GHndXuUkDdV-gNCSldQQ,5,3.0,15205,
575BoZY8tDPcfSRcdsUNLw,42,3.0,15216,
EjNf9cqCK9V5xChJXhxnLw,4,4.0,15090,
fsvIASOJFSZohU2qmbMc7Q,20,5.0,15210,
2cfzQGANxuIGcCUrlwnV7w,18,2.0,15235,
JxSmlL_MckX0dvS5XBg0Cg,48,4.0,15136,
cs2VDcXDee_jzJoPT_fycA,16,2.5,15216,
h8m4WRcH4TgMFNFfAkfypg,7,5.0,15203,
5rinwJ0Xs-Ay5GmAnzjO8Q,3,1.0,15203,
IeHlFrVmHzfyaGzdx01l_g,3,4.0,15317,
T9BPck3_4KVJEhAblX15vA,11,1.5,15206,
BHHlUVk3K2PbC5azR-sk3A,17,2.5,15226,
w5F7Gz3UGg6TmpKhBCOiaw,3,3.5,15122,
pFmuMpPANaAFQ1PGVv1FeQ,4,3.0,15146,
uEsOy9PV5007lvXPOvVezg,4,3.0,15233,
SIJm66InxhHRTcLPB6OwKA,12,5.0,15208,
nj4izgDoJOqTpTlQtZGDvA,4,3.5,15235,
J9f-9Prw2YVM-fiZqv2fmQ,210,3.5,15213,
a5xUI7TvsNhM5gZr6KowDg,93,3.5,15237,
Z1etKi_kBsMr3oGolRrGaA,4,4.5,15108,
iem-ulfY2cmA8ymNtbQGgA,5,2.5,15237,
wG3GDD8ovrdWMURLGWePcA,10,3.5,15137,
oNqZQyYpMmsJNH3TJA4j_w,5,5.0,15206,
_pg-UUdktT4VAC9-1L5XiA,5,5.0,15203,
8ISwdpgOEj6rznVvcWGXyA,4,4.0,15238,
o8TpuB5PmdXXYQhG_SxmhQ,14,3.0,15642,
SCDym9EeJT8YUkaqVO4cZQ,7,3.5,15289,
Pp5m0W7nF_OIzA6EkXMEkA,21,3.0,15207,
wcmwxLp53B21f_eZhzSF7g,63,4.5,15211,
C2mqIEnUWeo1UOcW00nWtA,15,4.0,15148,
v0KawuAO7clhXCDKobFs0g,71,3.0,15231,
R06MTQpLNdsnr5wrCkMXfQ,23,3.5,15222,
F_8jMuQXDvCNbD0pbp68Wg,11,3.0,15146,
ZElIifFslL_948I-hI_ukw,7,3.0,15203,
eHlpGh5LMjuuJeGAcbYn-Q,4,4.0,15224,
nF5TXLMmC6IJgQxE9CEZPw,148,3.0,15217,
Fbycyr3KEjDQ4wO9AStmvQ,70,4.0,15224,
NMvLXVM9fjI5CbtTV3ox6g,3,4.5,15222,
ATwgU_Mn00KBcUJFt_YCuw,8,2.0,15237,
j4jsgp-e315s11ehJfRzAA,82,3.5,15219,
sWgi1O7nBNF7eAjwZBqBXw,3,2.5,15668,
vn0wYNms_5PseeYZ6pfLmA,6,5.0,15219,
4l56EXyCWwPlPXcX9qq-jw,61,4.0,15102,
pIDc5WPZGhFll6sE6nVvwg,9,3.0,15232,
QI0PGXbGkIdInOOBeq6ieQ,36,3.0,15237,
SR5HPi7niUHNUmVEYsEudw,7,2.5,15238,
q2WR76q5R2GvE_2gO0ZQZQ,11,4.5,15201,
aEXVacFIyBb0b_XbxCuyIg,3,1.0,15202,
OohsWZ3A0bo8y6N6vi6ePA,13,3.0,15210,
KF1ngA96RBiRM5h8V7IQ2g,30,4.0,15217,
FO2SNKF9I8mvTCAvbClJZQ,4,1.0,15145,
bqW0f0RigwpYyz1lbxhHlw,201,3.5,15212,
xi8D-CjJlH7ge1CgMfkdTg,4,1.0,15236,
CNs_8drkTel1FD64Q4UTyg,21,3.0,15215,
sYneggodKLkckjBu_aH5Pw,3,2.5,15071,
zYzkwEGqHgLNrCE_rKhMDg,7,4.5,15317,
-eocJ0ugt1rEDZj160Xhrg,11,4.0,15090,
MPjwZL8DHKCEbFw8LYiAIA,3,3.0,15226,
s0HXXbiItSvVQBLvyckeRA,10,2.5,15203,
MFaerBsWIA2du9kHGeKDeA,15,2.5,15202,
FIIIQplC7gkEW2kyRGSFxg,4,3.0,15146,
-7bvsSGKnY6O-JmSWc5V6g,10,4.5,15201,
dwAtKEutQKgCvb7wSSU8Kw,21,4.0,15206,
rxpiO3CB5323XsBVzMB7nw,18,4.0,15642,
ODhngitoIH2g37TWtNaxpw,6,4.0,15237,
Go030M_vCtfNBTMCyZOTcw,11,4.0,15222,
OFT4gaCiwQFITpPLVtBvKQ,3,4.5,15223,
eDY9g4_uMX_uMuUzWAFqfg,3,2.5,15228,
lANErA3v8e2VYzMvLzWN7w,4,4.0,15212,
fMr9T_YnJ2k-mGo4a9aIQw,7,3.0,15228,
gEXjlzGE_-OIX4rFWGB4CA,15,3.0,15210,
TjJdpI5XX2zwHmXQbnEWeQ,14,4.5,15104,
63iOXcDVSr8Jm0C8mjzo6g,6,1.5,15205,
OGARoKckCz_DUk6A8aEtzw,9,2.5,15219,
163fCdtWaQAWg1Z1281v7w,4,4.0,15136,
X6Ld6HChDrQN_4X6V_7VQQ,6,4.0,15122,
gCZAYkIcRjNYYRHQ9htpJQ,77,3.5,15146,
EUgHFeAvock2Ut3iWPlG8Q,9,2.0,15146,
kxXuthvJvKZ_mS5UA3JrLQ,32,4.0,15044,
F-xrInMjPTmOc_-a7_AH6A,8,3.0,15146,
jPWGcicuwRxciN5WGhz_wQ,58,4.5,15219,
lE68i-3i1UvIEO7mW2vbJA,3,3.5,15237,
FFQ-DXkwD4uE9Eh6-769Pg,3,1.5,15222,
HKExCPp1uxyQY1jlfYAhkA,14,3.5,15203,
j8INaXpsUvQVzU0nkTZF2g,4,3.0,15071,
gJhfP2eBPrPgEsfjOOVKTA,5,3.5,15211,
5Tu0bBjzMYoNwj7ZJ-6EBg,50,3.0,15222,
zOP3oRiUR6DP6o9mQ4JYGg,15,3.0,15213,
hC4GGbGfpp1xfH47fZDDiA,3,5.0,15237,
8PketBhi3DllXR6hM2xsCw,5,4.0,15222,
7QhYLKgSuBur1SMgms_-wQ,4,5.0,15237,
5ry-n1zoefQQHczi7nBC-w,19,3.0,15241,
fb5HMxDHxNI7tEcAOTgX3Q,7,3.5,15228,
77N3luh2YzfJFJGFIfqqbw,50,3.5,15120,
-ySaJC9irFPbJvEVPMe0sw,12,3.5,15232,
_Tn9xzE06-7kDH2CzRg9YA,8,1.5,15231,
bpvv9BpcTlkLeMbYSQZDsw,5,4.5,15229,
BNeS_hZfmdQWsqewj-LuDA,52,4.5,15237,
KCjUVqd1wSuK1AK0RbWczg,25,3.5,15120,
i6x-Wf2uvx4YydJpPmaXmg,44,3.5,15289,
L11s10GOzc_0uL0VRtyugw,4,5.0,15668,
yV3ak7F2t3n8SO7QsvLgEA,37,4.5,15146,
